ProductPairs,TotalSales
"iPhone, Lightning Charging Cable",891
"Google Phone, USB-C Charging Cable",868
"iPhone, Wired Headphones",374
"USB-C Charging Cable, Vareebadd Phone",318
"Google Phone, Wired Headphones",311
"Apple Airpods Headphones, iPhone",299
"Bose SoundSport Headphones, Google Phone",169
"Vareebadd Phone, Wired Headphones",110
"AA Batteries (4-pack), Lightning Charging Cable",103
"Lightning Charging Cable, USB-C Charging Cable",96
"AAA Batteries (4-pack), USB-C Charging Cable",92
"AA Batteries (4-pack), AAA Batteries (4-pack)",87
"AAA Batteries (4-pack), Wired Headphones",86
"USB-C Charging Cable, Wired Headphones",82
"AA Batteries (4-pack), Wired Headphones",80
"AAA Batteries (4-pack), Lightning Charging Cable",79
"AAA Batteries (4-pack), Apple Airpods Headphones",78
"Google Phone, USB-C Charging Cable, Wired Headphones",78
"AA Batteries (4-pack), USB-C Charging Cable",72
"Apple Airpods Headphones, Wired Headphones",71
"Bose SoundSport Headphones, Lightning Charging Cable",71
"AA Batteries (4-pack), Apple Airpods Headphones",70
"Apple Airpods Headphones, Lightning Charging Cable",69
"Lightning Charging Cable, Wired Headphones",66
"Bose SoundSport Headphones, Vareebadd Phone",62
"Apple Airpods Headphones, USB-C Charging Cable",60
"AAA Batteries (4-pack), Bose SoundSport Headphones",57
"iPhone, Lightning Charging Cable, Wired Headphones",57
"AA Batteries (4-pack), Bose SoundSport Headphones",55
"Bose SoundSport Headphones, USB-C Charging Cable",51
"Lightning Charging Cable, Lightning Charging Cable",51
"AAA Batteries (4-pack), AAA Batteries (4-pack)",48
"Apple Airpods Headphones, Bose SoundSport Headphones",48
"USB-C Charging Cable, USB-C Charging Cable",46
"Bose SoundSport Headphones, Wired Headphones",45
"27in FHD Monitor, AAA Batteries (4-pack)",43
"Apple Airpods Headphones, iPhone, Lightning Charging Cable",43
"27in FHD Monitor, USB-C Charging Cable",41
"27in FHD Monitor, Lightning Charging Cable",36
"AA Batteries (4-pack), AA Batteries (4-pack)",35
"Wired Headphones, Wired Headphones",34
"27in 4K Gaming Monitor, Lightning Charging Cable",33
"34in Ultrawide Monitor, AA Batteries (4-pack)",32
"34in Ultrawide Monitor, Lightning Charging Cable",32
"Bose SoundSport Headphones, Google Phone, USB-C Charging Cable",31
"USB-C Charging Cable, Vareebadd Phone, Wired Headphones",31
"27in 4K Gaming Monitor, AAA Batteries (4-pack)",30
"AA Batteries (4-pack), iPhone",29
"27in 4K Gaming Monitor, Wired Headphones",28
"34in Ultrawide Monitor, Wired Headphones",28
"AAA Batteries (4-pack), ThinkPad Laptop",27
"AAA Batteries (4-pack), iPhone",27
"Bose SoundSport Headphones, Bose SoundSport Headphones",27
"20in Monitor, Lightning Charging Cable",26
"27in 4K Gaming Monitor, AA Batteries (4-pack)",26
"27in FHD Monitor, AA Batteries (4-pack)",26
"20in Monitor, USB-C Charging Cable",25
"27in FHD Monitor, Bose SoundSport Headphones",25
"34in Ultrawide Monitor, AAA Batteries (4-pack)",25
"34in Ultrawide Monitor, USB-C Charging Cable",25
"27in FHD Monitor, Apple Airpods Headphones",24
"Apple Airpods Headphones, Apple Airpods Headphones",24
"Google Phone, Lightning Charging Cable",24
"iPhone, USB-C Charging Cable",24
"27in 4K Gaming Monitor, USB-C Charging Cable",23
"Apple Airpods Headphones, iPhone, Wired Headphones",23
"27in 4K Gaming Monitor, Apple Airpods Headphones",22
"27in FHD Monitor, Wired Headphones",21
"AA Batteries (4-pack), Flatscreen TV",21
"AA Batteries (4-pack), Google Phone",21
"AAA Batteries (4-pack), Flatscreen TV",21
"Bose SoundSport Headphones, Google Phone, Wired Headphones",21
"Flatscreen TV, Lightning Charging Cable",21
"Lightning Charging Cable, Macbook Pro Laptop",21
"Macbook Pro Laptop, USB-C Charging Cable",21
"Lightning Charging Cable, ThinkPad Laptop",20
"ThinkPad Laptop, USB-C Charging Cable",20
"20in Monitor, Wired Headphones",19
"27in 4K Gaming Monitor, Bose SoundSport Headphones",19
"AAA Batteries (4-pack), Google Phone",19
"Apple Airpods Headphones, Macbook Pro Laptop",19
"Macbook Pro Laptop, Wired Headphones",19
"AAA Batteries (4-pack), Macbook Pro Laptop",18
"AA Batteries (4-pack), Macbook Pro Laptop",17
"AA Batteries (4-pack), ThinkPad Laptop",17
"Apple Airpods Headphones, Google Phone",17
"Flatscreen TV, USB-C Charging Cable",17
"20in Monitor, AA Batteries (4-pack)",16
"34in Ultrawide Monitor, Bose SoundSport Headphones",16
